os,cpu,gpu,ram,kernel,driver,cpuscheduler
ROSA Fresh Desktop 12.2,Intel Xeon CPU E5-2678 v3 @ 2.50GHz,Radeon RX 6600/6600 XT/6600M,32770052,5.19.0.xm2-1-xanmod-rosa2021.1-x86_64,4.6 Mesa 22.1.7,conservative
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
200.28,4993,21,98,48,61,2573,874,1.41788,114,3.51818,94184698
202.102,4948,21,98,48,61,2573,874,1.41788,114,3.51818,194249697
199.641,5009,21,98,48,61,2573,874,1.41788,114,3.51818,294314202
200.965,4976,21,98,48,61,2573,874,1.41788,114,3.51818,394378423
201.369,4966,21,98,48,61,2573,874,1.41788,114,3.51818,494435925
210.526,4750,21,98,48,61,2573,874,1.41788,114,3.51818,594472228
204.457,4891,21.5809,98,48,61,2572,875,1.41788,114,3.52003,694532657
207.469,4820,21.5809,98,48,61,2572,875,1.41788,114,3.52003,794591352
200.401,4990,21.5809,98,48,61,2572,875,1.41788,114,3.52003,894651731
201.979,4951,21.5809,98,48,61,2572,875,1.41788,114,3.52003,994715991
200.28,4993,21.5809,98,48,61,2572,875,1.41788,114,3.52003,1094776196
207.987,4808,21.8789,98,48,61,2574,874,1.41788,114,3.52001,1194837708
203.583,4912,21.8789,98,48,61,2574,874,1.41788,114,3.52001,1294898497
204.625,4887,21.8789,98,48,61,2574,874,1.41788,114,3.52001,1394963694
193.498,5168,21.8789,98,48,61,2574,874,1.41788,114,3.52001,1495027189
212.947,4696,21.8789,98,48,61,2574,874,1.41788,114,3.52001,1595087410
58.8824,16983,23.115,98,48,61,2575,875,1.41788,114,3.54092,1695142832
208.42,4798,23.115,98,48,61,2575,875,1.41788,114,3.54092,1795203382
204.415,4892,23.115,98,48,61,2575,875,1.41788,114,3.54092,1895257447
210.659,4747,23.115,98,48,61,2575,875,1.41788,114,3.54092,1995314381
209.776,4767,23.115,98,48,61,2575,875,1.41788,114,3.54092,2095367821
205.381,4869,27.6543,85,48,60,2175,858,1.41792,95,3.55077,2195422989
209.776,4767,27.6543,85,48,60,2175,858,1.41792,95,3.55077,2295476132
203.749,4908,27.6543,85,48,60,2175,858,1.41792,95,3.55077,2395535893
207.168,4827,27.6543,85,48,60,2175,858,1.41792,95,3.55077,2495589801
205.339,4870,27.6543,85,48,60,2175,858,1.41792,95,3.55077,2595647417
198.02,5050,21.598,97,48,61,2518,874,1.41903,110,3.55468,2695704258
207.383,4822,21.598,97,48,61,2518,874,1.41903,110,3.55468,2795761237
200.361,4991,21.598,97,48,61,2518,874,1.41903,110,3.55468,2895817383
202.061,4949,21.598,97,48,61,2518,874,1.41903,110,3.55468,2995871012
203.874,4905,21.598,97,48,61,2518,874,1.41903,110,3.55468,3095926030
200,5000,22.25,99,48,61,2575,875,1.41903,114,3.55491,3195979513
204.918,4880,22.25,99,48,61,2575,875,1.41903,114,3.55491,3296032795
203.417,4916,22.25,99,48,61,2575,875,1.41903,114,3.55491,3396089863
200.481,4988,22.25,99,48,61,2575,875,1.41903,114,3.55491,3496145156
204.666,4886,22.25,99,48,61,2575,875,1.41903,114,3.55491,3596199790
203.874,4905,22.6368,99,48,60,2574,875,1.41903,114,3.55491,3696254544
198.02,5050,22.6368,99,48,60,2574,875,1.41903,114,3.55491,3796308497
195.008,5128,22.6368,99,48,60,2574,875,1.41903,114,3.55491,3896365952
203.666,4910,22.6368,99,48,60,2574,875,1.41903,114,3.55491,3996416382
191.205,5230,22.6368,99,48,60,2574,875,1.41903,114,3.55491,4096469996
164.636,6074,19.7619,99,48,58,2574,875,1.41903,114,3.55491,4196524361
197.55,5062,19.7619,99,48,58,2574,875,1.41903,114,3.55491,4296578343
59.9125,16691,19.7619,99,48,58,2574,875,1.41903,114,3.55491,4396638718
166.528,6005,19.7619,99,48,58,2574,875,1.41903,114,3.55491,4496696100
175.223,5707,19.7619,99,48,58,2574,875,1.41903,114,3.55491,4596759315
178.667,5597,22.1945,70,48,59,1771,774,1.41948,93,3.5549,4696816594
170.736,5857,22.1945,70,48,59,1771,774,1.41948,93,3.5549,4796874894
185.219,5399,22.1945,70,48,59,1771,774,1.41948,93,3.5549,4896928919
159.21,6281,22.1945,70,48,59,1771,774,1.41948,93,3.5549,4996986774
181.653,5505,22.1945,70,48,59,1771,774,1.41948,93,3.5549,5097040504
178.635,5598,22.4159,85,48,60,2199,871,1.42025,84,3.55551,5197094087
193.013,5181,22.4159,85,48,60,2199,871,1.42025,84,3.55551,5297150252
185.014,5405,22.4159,85,48,60,2199,871,1.42025,84,3.55551,5397204710
179.791,5562,22.4159,85,48,60,2199,871,1.42025,84,3.55551,5497257931
183.79,5441,22.4159,85,48,60,2199,871,1.42025,84,3.55551,5597312700
46.6396,21441,21.9753,92,48,60,2454,873,1.42031,104,3.55276,5697373936
185.219,5399,21.9753,92,48,60,2454,873,1.42031,104,3.55276,5797433680
181.851,5499,21.9753,92,48,60,2454,873,1.42031,104,3.55276,5897497666
129.769,7706,21.9753,92,48,60,2454,873,1.42031,104,3.55276,5997559261
